 Koke *,Spain,7
Andrej Kramarić *,Croatia,7
Grzegorz Krychowiak *,Poland,7
Juraj Kucka *,Slovakia,7
Pavel Kuka,Czech Republic,7
Oleg Kuznetsov,CISUSSR,7
Henrik Larsen,Denmark,7
Stephan Lichtsteiner,Switzerland,7
Victor Lindelöf *,Sweden,7
Mikael Lustig,Sweden,7
 Marchena,Spain,7
Blaise Matuidi,France,7
Dorinel Munteanu,Romania,7
Ivan Nielsen,Denmark,7
Mikael Nilsson,Sweden,7
Morten Olsen,Denmark,7
Michael Owen,England,7
Alpay Özalan,Turkey,7
Christian Panucci,Italy,7
Dimitri Payet *,France,7
Peter Pekarík *,Slovakia,7
Jean-Marie Pfaff,Belgium,7
Kalvin Phillips *,England,7
Jordan Pickford *,England,7
Robert Pirés,France,7
David Platt,England,7
Marcus Rashford *,England,7
 Raúl,Spain,7
Franck Ribéry,France,7
Declan Rice *,England,7
Karl-Heinz Rummenigge,Germany,7
 Sá Pinto,Portugal,7
Marcel Sabitzer *,Austria,7
Bacary Sagna,France,7
 Santi Cazorla *,Spain,7
Paul Scholes,England,7
Toni Schumacher,Germany,7
David Seaman,England,7
Roman Shirokov,Russia,7
Tomáš Sivok,Czech Republic,7
Uli Stielike,Germany,7
Dragan Stojković,Yugoslavia,7
John Stones *,England,7
Hakan Şükür,Turkey,7
Sergiy Sydorchuk *,Ukraine,7
Ádám Szalai,Hungary,7
Ogün Temizkanoğlu,Turkey,7
John Terry,England,7
Jon Dahl Tomasson,Denmark,7
Mehmet Topal,Turkey,7
David Trezeguet,France,7
Tomáš Ujfaluši,Czech Republic,7
Berry van Aerle,Netherlands,7
Robin van Persie,Netherlands,7
René Vandereycken,Belgium,7
 William Carvalho *,Portugal,7
Dino Zoff,Italy,7
 Zubizarreta,Spain,7
Konstantin Zyryanov,Russia,7
Ibrahim Afellay,Netherlands,6
Klaus Allofs,Germany,6
Alessandro Altobelli,Italy,6
Marko Arnautović *,Austria,6
Andrey Arshavin,Russia,6
Mario Balotelli *,Italy,6
Nicolò Barella *,Italy,6
Andrea Belotti *,Italy,6
Domenico Berardi *,Italy,6
Klaus Berggreen,Denmark,6
Wilfred Bouma,Netherlands,6
Martin Braithwaite *,Denmark,6
Mauro Camoranesi,Italy,6
James Chester *,Wales,6
Andreas Christensen *,Denmark,6
Cosmin Contra,Romania,6
Bryan Cristante *,Italy,6
Nigel de Jong,Netherlands,6
Thomas Delaney *,Denmark,6
Giovanni Di Lorenzo *,Italy,6
Aleksandar Dragović *,Austria,6
Ondrej Duda *,Slovakia,6
Michal Ďuriš *,Slovakia,6
Artem Dzyuba *,Russia,6
Dieter Eilts,Germany,6
Preben Elkjær Larsen,Denmark,6
 Etxeberria,Spain,6
Gelson Fernandes,Switzerland,6
 Ferran Torres *,Spain,6
Alessandro Florenzi *,Italy,6
Panagiotis Fyssas,Greece,6
Constantin Gâlcă,Romania,6
Theofanis Gekas,Greece,6
Emanuele Giaccherini,Italy,6
Stylianos Giannakopoulos,Greece,6
André-Pierre Gignac *,France,6
Koloman Gögh,CSSR,6
Aleksandr Golovin *,Russia,6
Andy Goram,Scotland,6
Andreas Granqvist,Sweden,6
Kamil Grosicki *,Poland,6
Jesper Grønkjær,Denmark,6
Dietmar Hamann,Germany,6
Jonas Hector,Germany,6
Jan Heintze,Denmark,6
 Hierro,Spain,6
Michal Horňák,Czech Republic,6
Benedikt Höwedes,Germany,6
Pierre-Emile Højbjerg *,Denmark,6
Adrian Ilie,Romania,6
Mark Iuliano,Italy,6
Mathias Jensen *,Denmark,6
 Jorge Andrade,Portugal,6
Ladislav Jurkemik,CSSR,6
Oliver Kahn,Germany,6
Mihalis Kapsis,Greece,6
Martin Keown,England,6
Tugay Kerimoğlu,Turkey,6
Yevhen Khacheridi,Ukraine,6
Yevgen Konoplyanka,Ukraine,6
Andreas Köpke,Germany,6
Petr Kouba,Czech Republic,6
Niko Kovač,Croatia,6
Robert Kovač,Croatia,6
Mateo Kovačić *,Croatia,6
Niko Kranjčar,Croatia,6
Kevin Kurányi,Germany,6
Dirk Kuyt,Netherlands,6
Bernard Lama,France,6
Aymeric Laporte *,Spain,6
Joe Ledley,Wales,6
Jens Lehmann,Germany,6
Søren Lerby,Denmark,6
Gary Lineker,England,6
Pierre Littbarski,Germany,6
Shane Long,Ireland,6
Robert Mak *,Slovakia,6
Claude Makélélé,France,6
Mario Mandžukić,Croatia,6
 Maniche,Portugal,6
Claudio Marchisio,Italy,6
Marián Masný,CSSR,6
Joakim Mæhle *,Denmark,6
Gary McAllister,Scotland,6
Stuart McCall,Scotland,6
Aiden McGeady *,Ireland,6
Steve McManaman,England,6
Admir Mehmedi,Switzerland,6
Per Mertesacker,Germany,6
Christoph Metzelder,Germany,6
 Miguel,Portugal,6
 Miguel Veloso *,Portugal,6
 Mikel Oyarzabal *,Spain,6
Viorel Moldovan,Romania,6
Patrick Müller,Switzerland,6
Adrian Mutu,Romania,6
Ádám Nagy *,Hungary,6
Samir Nasri,France,6
Zdeněk Nehoda,CSSR,6
John O'Shea,Ireland,6
Ivica Olić,Croatia,6
Martin Olsson *,Sweden,6
Anton Ondruš,CSSR,6
Antonín Panenka,CSSR,6
 Pau Torres *,Spain,6
 Pauleta,Portugal,6
 Paulo Ferreira,Portugal,6
 Paulo Sousa,Portugal,6
 Pedri *,Spain,6
Simone Perrotta,Italy,6
Dan Petrescu,Romania,6
Stipe Pletikosa,Croatia,6
Gheorghe Popescu,Romania,6
Danijel Pranjić,Croatia,6
Andriy Pyatov,Ukraine,6
Dennis Rommedahl,Denmark,6
David Rozehnal,Czech Republic,6
 Santillana,Spain,6
Kasper Schmeichel *,Denmark,6
Mehmet Scholl,Germany,6
Igor Semshov,Russia,6
Luke Shaw *,England,6
 Simão,Portugal,6
Josip Šimunić,Croatia,6
Gareth Southgate,England,6
Bogdan Stelea,Romania,6
Ivan Strinić,Croatia,6
Jens Stryger Larsen *,Denmark,6
Neil Taylor,Wales,6
 Thiago *,Spain,6
Francesco Toldo,Italy,6
Vasilios Torosidis,Greece,6
Francesco Totti,Italy,6
Ozan Tufan *,Turkey,6
Arda Turan,Turkey,6
 Unai Simón *,Spain,6
Erwin Vandenbergh,Belgium,6
Jannik Vestergaard *,Denmark,6
Stephen Ward,Ireland,6
Marcin Wasilewski,Poland,6
Vladimír Weiss *,Slovakia,6
Ashley Williams,Wales,6
Hakan Yakin,Switzerland,6
Burak Yılmaz,Turkey,6
Theodoros Zagorakis,Greece,6
Boudewijn Zenden,Netherlands,6
Manuel Akanji *,Switzerland,5
Hamit Altintop,Turkey,5
Manuel Amoros,France,5
Daniel Andersson,Sweden,5
Kennet Andersson,Sweden,5
Patrik Andersson,Sweden,5
Darren Anderton,England,5
 André Gomes *,Portugal,5
Kári Árnason,Iceland,5
 Azpilicueta *,Spain,5
Holger Badstuber,Germany,5
Nick Barmby,England,5
Joël Bats,France,5
Patrick Battiston,France,5
Vasiliy Berezutskiy,Russia,5
Federico Bernardeschi *,Italy,5
Diniyar Bilyaletdinov,Russia,5
Birkir Bjarnason *,Iceland,5
Fredi Bobic,Germany,5
Marco Bode,Germany,5
Jón Böðvarsson *,Iceland,5
Maxime Bossis,France,5
Georgiy Bushchan *,Ukraine,5
Søren Busk,Denmark,5
Yohan Cabaye,France,5
Hakan Çalhanoğlu *,Turkey,5
 Capdevila,Spain,5
 Carrasco,Spain,5
Ondřej Čelůstka *,Czech Republic,5
Stéphane Chapuisat,Switzerland,5
Kim Christofte,Denmark,5
Vladimír Coufal *,Czech Republic,5
Mikkel Damsgaard *,Denmark,5
 Dani Olmo *,Spain,5
Rinat Dasaev,USSR,5
Bernard Dietz,Germany,5
Jean-François Domergue,France,5
Julian Draxler *,Germany,5
Dariusz Dudka,Poland,5
Gordon Durie,Scotland,5
Dragan Džajić,Yugoslavia,5
Stefan Effenberg,Germany,5
Johan Elmander,Sweden,5
Nico Elvedi *,Switzerland,5
Abdullah Ercan,Turkey,5
 Fábio Coentrão,Portugal,5
Iulian Filipescu,Romania,5
Bernd Förster,Germany,5
Remo Freuler *,Switzerland,5
Paul Gascoigne,England,5
Mario Gavranović *,Switzerland,5
Theodor Gebre Selassie,Czech Republic,5
 Gerard Moreno *,Spain,5
Alain Giresse,France,5
Mario Götze *,Germany,5
Thomas Gravesen,Denmark,5
Jack Grealish *,England,5
Jóhann Guðmundsson *,Iceland,5
Vincent Guérin,France,5
Aron Gunnarsson *,Iceland,5
Hannes Halldórsson,Iceland,5
Martin Harnik *,Austria,5
Stéphane Henchoz,Switzerland,5
Wayne Hennessey *,Wales,5
Thomas Hitzlsperger,Germany,5
Tomáš Holeš *,Czech Republic,5
Tomáš Hubočan *,Slovakia,5
Tomáš Hübschman *,Czech Republic,5
Bodo Illgner,Germany,5
Stefan Ilsanker,Austria,5
Jakub Jankto *,Czech Republic,5
Marcell Jansen,Germany,5
Artur Jędrzejczyk *,Poland,5
 João Pereira,Portugal,5
Tomasz Jodłowiec *,Poland,5
 Jorge Costa,Portugal,5
Martin Jørgensen,Denmark,5
 Julio Alberto,Spain,5
Michal Kadlec *,Czech Republic,5
Miroslav Kadlec,Czech Republic,5
Tomáš Kalas *,Czech Republic,5
Andrey Kanchelskis,RussiaCIS,5
Oleksandr Karavayev *,Ukraine,5
Christian Karembeu,France,5
Colin Kâzım-Richards,Turkey,5
Robbie Keane,Ireland,5
Vagiz Khidiyatullin,USSR,5
László Kleinheisler *,Hungary,5
Igor Kolyvanov,RussiaCIS,5
Tayfun Korkut,Turkey,5
Ruud Krol,Netherlands,5
Stefan Kuntz,Germany,5
Radoslav Látal,Czech Republic,5
David Limberský,Czech Republic,5
Manuel Locatelli *,Italy,5
Patrice Loko,France,5
Gergő Lovrencsics *,Hungary,5
Ioan Lupescu,Romania,5
Harry Maguire *,England,5
Roy Makaay,Netherlands,5
Vyacheslav Malafeev,Russia,5
Florent Malouda,France,5
 Marcos Senna,Spain,5
Lukáš Masopust *,Czech Republic,5
Joris Mathijsen,Netherlands,5
Mykola Matvienko *,Ukraine,5
Kevin Mbabu *,Switzerland,5
James McClean *,Ireland,5
Ally McCoist,Scotland,5
Stewart McKimmie,Scotland,5
Arkadiusz Milik *,Poland,5
James Milner *,England,5
Mason Mount *,England,5
Arnold Mühren,Netherlands,5
Rafał Murawski,Poland,5
Radja Nainggolan *,Belgium,5
Phil Neville,England,5
Roland Nilsson,Sweden,5
Jens Nowotny,Germany,5
Christian Nørgaard *,Denmark,5
 Nuno Valente,Portugal,5
Viktor Onopko,RussiaCIS,5
 Pablo Sarabia *,Spain,5
Michał Pazdan,Poland,5
 Pedro *,Spain,5
Gianluca Pessotto,Italy,5
 Petit,Portugal,5
Michel Platini,France,5
Yussuf Poulsen *,Denmark,5
Oleg Protasov,USSR,5
Karel Rada,Czech Republic,5
Vladislav Radimov,Russia,5
Răzvan Raţ,Romania,5
Vasiliy Rats,USSR,5
Karl-Heinz Riedle,Germany,5
Hal Robson-Kanu,Wales,5
 Rodri *,Spain,5
Wolfgang Rolff,Germany,5
Willy Sagnol,France,5
Dimitrios Salpingidis,Greece,5
Georgios Samaras,Greece,5
Ebbe Sand,Denmark,5
Leroy Sané *,Germany,5
Kenny Sansom,England,5
Birkir Sævarsson,Iceland,5
Patrik Schick *,Czech Republic,5
Gordon Schildenfeld,Croatia,5
Michael Schjønberg,Denmark,5
Alessandro Schöpf *,Austria,5
Piet Schrijvers,Netherlands,5
André Schürrle,Germany,5
Sergey Semak,Russia,5
 Señor,Spain,5
Semih Şentürk,Turkey,5
 Sergi Barjuán,Spain,5
 Sérgio Conceição,Portugal,5
Petr Ševčík *,Czech Republic,5
Mykola Shaparenko *,Ukraine,5
Teddy Sheringham,England,5
Gylfi Sigurðsson *,Iceland,5
Ragnar Sigurðsson,Iceland,5
Kolbeinn Sigþórsson,Iceland,5
Dario Šimić,Croatia,5
Milan Škriniar *,Slovakia,5
Ari Skúlason *,Iceland,5
Tomáš Souček *,Czech Republic,5
Brian Steen Nielsen,Denmark,5
Taras Stepanenko *,Ukraine,5
Thomas Strunz,Germany,5
Jan Suchopárek,Czech Republic,5
Dmitriy Sychev,Russia,5
