,Index,Player,Country,Matches,Goals,Penatlies,AVG,Active
277,251,Jesper Grønkjær,Denmark,6,1,0,0.17,False
278,251,Georges Grün,Belgium,3,1,0,0.33,False
279,251,Raphaël Guerreiro,Portugal,9,1,0,0.11,True
280,251,Ruud Gullit,Netherlands,9,1,0,0.11,False
281,251,Marek Hamšík,Slovakia,7,1,0,0.14,False
282,251,Petter Hansson,Sweden,3,1,0,0.33,False
283,251,Eden Hazard,Belgium,9,1,0,0.11,False
284,251,Jordan Henderson,England,8,1,0,0.13,True
285,251,Tomáš Holeš,Czech Republic,5,1,0,0.2,True
286,251,Bernd Hölzenbein,Germany,2,1,0,0.5,False
287,251,Wes Hoolahan,Ireland,4,1,0,0.25,False
288,251,Ray Houghton,Ireland,3,1,0,0.33,False
289,251,Klaas-Jan Huntelaar,Netherlands,4,1,0,0.25,False
290,251,Geoff Hurst,England,1,1,0,1.0,False
291,251,Steffen Iversen,Norway,3,1,0,0.33,False
292,251,Nikica Jelavić,Croatia,3,1,0,0.33,False
293,251,Faxe Jensen,Denmark,7,1,0,0.14,False
294,251,Jesús Navas,Spain,3,1,0,0.33,True
295,251,Mattias Jonson,Sweden,3,1,0,0.33,False
296,251,Jordi Alba,Spain,16,1,0,0.06,True
297,251,Ladislav Jurkemik,CSSR,6,1,0,0.17,False
298,251,İrfan Kahveci,Turkey,3,1,0,0.33,True
299,251,Saša Kalajdžić,Austria,4,1,0,0.25,True
300,301,Nikola Kalinić,Croatia,3,1,0,0.33,True
301,301,Josip Katalinski,Yugoslavia,2,1,0,0.5,False
302,301,Sami Khedira,Germany,10,1,0,0.1,False
303,301,Galimzyan Khusainov,USSR,2,1,0,0.5,False
304,301,Wim Kieft,Netherlands,4,1,0,0.25,False
305,301,Dmitriy Kirichenko,Russia,1,1,0,1.0,False
306,301,Tomislav Knez,Yugoslavia,1,1,0,1.0,False
307,301,Ronald Koeman,Netherlands,9,1,1,0.11,False
308,301,Slobodan Komljenović,Yugoslavia,3,1,0,0.33,False
