,Denis Glushakov *,Russia,4,1,0,0.25
,Bart Goor,Belgium,3,1,0,0.33
, Gordillo,Spain,10,1,0,0.10
,Leon Goretzka *,Germany,3,1,0,0.33
,Robin Gosens *,Germany,4,1,0,0.25
,Dejan Govedarica,Yugoslavia,3,1,0,0.33
,Francesco Graziani,Italy,4,1,0,0.25
,Michael Gregoritsch *,Austria,3,1,0,0.33
,Jesper Grønkjær,Denmark,6,1,0,0.17
,Georges Grün,Belgium,3,1,0,0.33
,Raphaël Guerreiro *,Portugal,9,1,0,0.11
,Ruud Gullit,Netherlands,9,1,0,0.11
,Marek Hamšík,Slovakia,7,1,0,0.14
,Petter Hansson,Sweden,3,1,0,0.33
,Eden Hazard,Belgium,9,1,0,0.11
,Jordan Henderson *,England,8,1,0,0.13
,Tomáš Holeš *,Czech Republic,5,1,0,0.20
,Bernd Hölzenbein,Germany,2,1,0,0.50
,Wes Hoolahan,Ireland,4,1,0,0.25
,Ray Houghton,Ireland,3,1,0,0.33
,Klaas-Jan Huntelaar,Netherlands,4,1,0,0.25
,Geoff Hurst,England,1,1,0,1.00
,Steffen Iversen,Norway,3,1,0,0.33
,Nikica Jelavić,Croatia,3,1,0,0.33
,Faxe Jensen,Denmark,7,1,0,0.14
, Jesús Navas *,Spain,3,1,0,0.33
,Mattias Jonson,Sweden,3,1,0,0.33
, Jordi Alba *,Spain,16,1,0,0.06
,Ladislav Jurkemik,CSSR,6,1,0,0.17
,İrfan Kahveci *,Turkey,3,1,0,0.33
,Saša Kalajdžić *,Austria,4,1,0,0.25
301,Nikola Kalinić *,Croatia,3,1,0,0.33
,Josip Katalinski,Yugoslavia,2,1,0,0.50
,Sami Khedira,Germany,10,1,0,0.10
,Galimzyan Khusainov,USSR,2,1,0,0.50
,Wim Kieft,Netherlands,4,1,0,0.25
,Dmitriy Kirichenko,Russia,1,1,0,1.00
,Tomislav Knez,Yugoslavia,1,1,0,1.00
,Ronald Koeman,Netherlands,9,1,1,0.11
,Slobodan Komljenović,Yugoslavia,3,1,0,0.33
,Anatoliy Konkov,USSR,2,1,0,0.50
,Niko Kovač,Croatia,6,1,0,0.17
,Lajos Kü,Hungary,2,1,1,0.50
,Pavel Kuka,Czech Republic,7,1,0,0.14
,Stefan Kuntz,Germany,5,1,0,0.20
,Dirk Kuyt,Netherlands,6,1,0,0.17
,Stefan Lainer *,Austria,4,1,0,0.25
,Raoul Lambert,Belgium,2,1,0,0.50
,Aymeric Laporte *,Spain,6,1,0,0.17
,Sebastian Larsson,Sweden,11,1,0,0.09
,Michael Laudrup,Denmark,10,1,0,0.10
,John Lauridsen,Denmark,2,1,0,0.50
,Søren Lerby,Denmark,6,1,0,0.17
,Joleon Lescott,England,4,1,0,0.25
,Karol Linetty *,Poland,2,1,0,0.50
,Gennadiy Litovchenko,USSR,4,1,0,0.25
,Freddie Ljungberg,Sweden,10,1,0,0.10
,Patrice Loko,France,5,1,0,0.20
,Harry Maguire *,England,5,1,0,0.20
,Roy Makaay,Netherlands,5,1,0,0.20
,Roberto Mancini,Italy,4,1,0,0.25
, Manjarín,Spain,3,1,0,0.33
, Marcelino,Spain,2,1,0,0.50
, Mata,Spain,1,1,0,1.00
,Lothar Matthäus,Germany,11,1,1,0.09
,Gary McAllister,Scotland,6,1,1,0.17
,Gareth McAuley,Northern Ireland,4,1,0,0.25
,Brian McClair,Scotland,3,1,0,0.33
,Ally McCoist,Scotland,5,1,0,0.20
,Niall McGinn *,Northern Ireland,3,1,0,0.33
,Callum McGregor *,Scotland,3,1,0,0.33
,Steve McManaman,England,6,1,0,0.17
,Paul McStay,Scotland,3,1,0,0.33
,Admir Mehmedi,Switzerland,6,1,0,0.17
,Olof Mellberg,Sweden,13,1,0,0.08
,Jérémy Ménez *,France,3,1,0,0.33
,Slava Metreveli,USSR,2,1,0,0.50
,Thomas Meunier *,Belgium,9,1,0,0.11
, Míchel,Spain,3,1,0,0.33
, Mikel Oyarzabal *,Spain,6,1,0,0.17
,Aleksey Mikhaylichenko,CISUSSR,8,1,0,0.13
351,Arkadiusz Milik *,Poland,5,1,0,0.20
,Aleksey Miranchuk *,Russia,3,1,0,0.33
,Johan Mjällby,Sweden,3,1,0,0.33
,Viorel Moldovan,Romania,6,1,0,0.17
,Andreas Möller,Germany,8,1,0,0.13
,Kieffer Moore *,Wales,4,1,0,0.25
, Morientes,Spain,3,1,0,0.33
,Aleksandr Mostovoy,Russia,4,1,0,0.25
,Émile Mpenza,Belgium,3,1,0,0.33
, Munitis,Spain,2,1,0,0.50
,Dorinel Munteanu,Romania,7,1,0,0.14
,Shkodran Mustafi,Germany,2,1,0,0.50
,Adrian Mutu,Romania,6,1,0,0.17
,Samir Nasri,France,6,1,0,0.17
,Tomáš Necid *,Czech Republic,3,1,1,0.33
,Pavel Nedvěd,Czech Republic,12,1,0,0.08
, Nené,Portugal,2,1,0,0.50
,Allan Nielsen,Denmark,3,1,0,0.33
, Nolito,Spain,4,1,0,0.25
,Ivica Olić,Croatia,6,1,0,0.17
,Anton Ondruš,CSSR,6,1,0,0.17
,Mislav Oršić *,Croatia,1,1,0,1.00
,Goran Pandev,North Macedonia,3,1,0,0.33
,Antonín Panenka,CSSR,6,1,0,0.17
,Christian Panucci,Italy,7,1,0,0.14
,Mario Pašalić *,Croatia,2,1,0,0.50
,Viktor Pasulko,USSR,2,1,0,0.50
,Miran Pavlin,Slovenia,3,1,0,0.33
,Ladislav Pavlovič,CSSR,1,1,0,1.00
,Simone Perrotta,Italy,6,1,0,0.17
,Martin Petrov,Bulgaria,3,1,1,0.33
, Piqué,Spain,10,1,0,0.10
,Jaroslav Plašil,Czech Republic,11,1,0,0.09
,David Platt,England,7,1,0,0.14
,Joel Pohjanpalo *,Finland,3,1,0,0.33
,Odilon Polleunis,Belgium,2,1,0,0.50
,Danilo Popivoda,Yugoslavia,2,1,0,0.50
,Flemming Povlsen,Denmark,8,1,0,0.13
,Dado Pršo,Croatia,3,1,0,0.33
, Quini,Spain,2,1,0,0.50
,Florin Răducioiu,Romania,3,1,0,0.33
,Ivan Rakitić *,Croatia,10,1,0,0.10
,Milan Rapaić,Croatia,3,1,1,0.33
,Vasiliy Rats,USSR,5,1,0,0.20
, Raúl,Spain,7,1,0,0.14
, Raúl Meireles,Portugal,8,1,0,0.13
, Renato Sanches *,Portugal,10,1,0,0.10
,Johnny Rep,Netherlands,3,1,1,0.33
,Marco Reus *,Germany,2,1,0,0.50
,Luigi Riva,Italy,1,1,0,1.00
401,Arjen Robben,Netherlands,9,1,0,0.11
,Connor Roberts *,Wales,4,1,0,0.25
,Bryan Robson,England,3,1,0,0.33
, Roger,Poland,3,1,0,0.33
,Karl-Heinz Rummenigge,Germany,7,1,0,0.14
, Sá Pinto,Portugal,7,1,0,0.14
,Armando Sadiku *,Albania,3,1,0,0.33
,Georgios Samaras,Greece,5,1,0,0.20
, Santillana,Spain,6,1,0,0.17
,András Schäfer *,Hungary,3,1,0,0.33
,Fabian Schär *,Switzerland,8,1,0,0.13
,Mehmet Scholl,Germany,6,1,0,0.17
,Alessandro Schöpf *,Austria,5,1,0,0.20
,Miloš Šestić,Yugoslavia,2,1,0,0.50
,Luke Shaw *,England,6,1,0,0.17
,Roman Shirokov,Russia,7,1,0,0.14
,Gylfi Sigurðsson *,Iceland,5,1,1,0.20
