,Player,Country,Matches,Active
402,Robert Mak,Slovakia,6,True
403,Claude Makélélé,France,6,False
404,Mario Mandžukić,Croatia,6,False
405,Maniche,Portugal,6,False
406,Claudio Marchisio,Italy,6,False
407,Marián Masný,CSSR,6,False
408,Joakim Mæhle,Denmark,6,True
409,Gary McAllister,Scotland,6,False
410,Stuart McCall,Scotland,6,False
411,Aiden McGeady,Ireland,6,True
412,Steve McManaman,England,6,False
413,Admir Mehmedi,Switzerland,6,False
414,Per Mertesacker,Germany,6,False
415,Christoph Metzelder,Germany,6,False
416,Miguel,Portugal,6,False
417,Miguel Veloso,Portugal,6,True
418,Mikel Oyarzabal,Spain,6,True
419,Viorel Moldovan,Romania,6,False
420,Patrick Müller,Switzerland,6,False
421,Adrian Mutu,Romania,6,False
422,Ádám Nagy,Hungary,6,True
423,Samir Nasri,France,6,False
424,Zdeněk Nehoda,CSSR,6,False
425,John O'Shea,Ireland,6,False
426,Ivica Olić,Croatia,6,False
427,Martin Olsson,Sweden,6,True
428,Anton Ondruš,CSSR,6,False
429,Antonín Panenka,CSSR,6,False
430,Pau Torres,Spain,6,True
431,Pauleta,Portugal,6,False
432,Paulo Ferreira,Portugal,6,False
433,Paulo Sousa,Portugal,6,False
434,Pedri,Spain,6,True
435,Simone Perrotta,Italy,6,False
436,Dan Petrescu,Romania,6,False
437,Stipe Pletikosa,Croatia,6,False
438,Gheorghe Popescu,Romania,6,False
439,Danijel Pranjić,Croatia,6,False
440,Andriy Pyatov,Ukraine,6,False
441,Dennis Rommedahl,Denmark,6,False
442,David Rozehnal,Czech Republic,6,False
443,Santillana,Spain,6,False
444,Kasper Schmeichel,Denmark,6,True
445,Mehmet Scholl,Germany,6,False
446,Igor Semshov,Russia,6,False
447,Luke Shaw,England,6,True
448,Simão,Portugal,6,False
449,Josip Šimunić,Croatia,6,False
450,Gareth Southgate,England,6,False
451,Bogdan Stelea,Romania,6,False
452,Ivan Strinić,Croatia,6,False
453,Jens Stryger Larsen,Denmark,6,True
454,Neil Taylor,Wales,6,False
455,Thiago,Spain,6,True
456,Francesco Toldo,Italy,6,False
457,Vasilios Torosidis,Greece,6,False
458,Francesco Totti,Italy,6,False
459,Ozan Tufan,Turkey,6,True
460,Arda Turan,Turkey,6,False
461,Unai Simón,Spain,6,True
462,Erwin Vandenbergh,Belgium,6,False
463,Jannik Vestergaard,Denmark,6,True
464,Stephen Ward,Ireland,6,False
465,Marcin Wasilewski,Poland,6,False
466,Vladimír Weiss,Slovakia,6,True
467,Ashley Williams,Wales,6,False
468,Hakan Yakin,Switzerland,6,False
469,Burak Yılmaz,Turkey,6,False
470,Theodoros Zagorakis,Greece,6,False
471,Boudewijn Zenden,Netherlands,6,False
472,Manuel Akanji,Switzerland,5,True
473,Hamit Altintop,Turkey,5,False
474,Manuel Amoros,France,5,False
475,Daniel Andersson,Sweden,5,False
476,Kennet Andersson,Sweden,5,False
477,Patrik Andersson,Sweden,5,False
478,Darren Anderton,England,5,False
479,André Gomes,Portugal,5,True
