,Home_Rating,Away_Rating,Stage,HT_H,HT_A,H,A,Extra Time,Penatly
240,1759,1616,0,0,1,0,1,0,0
241,1655,1766,0,1,0,2,1,0,0
242,1972,1760,0,0,0,1,1,0,0
243,1760,1766,0,0,2,1,2,0,0
244,1972,1655,0,0,1,2,1,0,0
245,1766,1972,0,0,0,0,0,0,0
246,1760,1655,0,0,2,0,3,0,0
247,1766,1624,0,0,0,1,0,0,0
248,2035,1837,0,1,0,2,0,0,0
249,1837,1624,0,0,0,0,2,0,0
250,2035,1766,0,0,0,0,0,0,0
251,1837,1766,0,0,0,0,1,0,0
252,1624,2035,0,0,1,0,1,0,0
253,1829,1818,0,0,1,0,1,0,0
254,1993,1755,0,0,0,1,0,0,0
255,1755,1818,0,0,1,2,2,0,0
256,1993,1829,0,2,0,3,0,0,0
257,1818,1993,0,1,1,2,1,0,0
258,1755,1829,0,0,1,0,2,0,0
259,1758,1764,0,0,0,1,1,0,0
260,1922,1875,0,0,1,0,2,0,0
261,1875,1764,0,0,0,1,0,0,0
262,1922,1758,0,0,0,3,0,0,0
263,1875,1758,0,0,0,0,1,0,0
264,1764,1922,0,0,0,0,1,0,0
265,1778,1697,0,0,0,0,2,0,0
266,1910,1666,0,1,0,1,1,0,0
267,1666,1697,0,1,0,1,1,0,0
268,1910,1778,0,0,0,0,0,0,0
269,1697,1910,0,1,1,3,3,0,0
270,1666,1778,0,1,0,2,1,0,0
271,1771,1766,1,0,1,4,5,0,1
272,1655,1624,1,0,0,1,0,0,0
273,1818,1910,1,0,0,0,1,1,0
274,1975,1758,1,0,1,2,1,0,0
275,2035,1766,1,2,0,3,0,0,0
276,1697,1922,1,0,1,0,4,0,0
277,1875,1993,1,1,0,2,0,0,0
278,1972,1666,1,1,2,1,2,0,0
279,1766,1910,2,1,1,3,5,0,1
280,1655,1922,2,1,1,3,1,0,0
281,2035,1875,2,0,0,6,5,0,1
282,1975,1666,2,4,0,5,2,0,0
283,1910,1655,3,0,0,2,0,0,0
284,2035,1975,3,0,1,0,2,0,0
285,1910,1975,5,0,0,1,0,1,0
286,1801,2014,0,0,0,0,3,0,0
287,1833,1890,0,0,0,1,1,0,0
288,1801,1833,0,0,1,0,2,0,0
289,2014,1890,0,1,0,3,0,0,0
290,1890,1801,0,2,0,3,1,0,0
291,2014,1833,0,1,0,1,0,0,0
292,1973,1684,0,0,0,0,1,0,0
293,2100,1744,0,2,0,3,0,0,0
294,1684,1744,0,0,1,0,1,0,0
295,1973,2100,0,1,0,1,2,0,0
